Acceleration x,Acceleration y,Acceleration z,Rotation x, Rotation y, Rotation z
-5.6598063,-5.817312,5.574766,-0.31643918,-0.5254594,-0.044280395
-5.995189,-5.534762,7.341107,0.050011486,-1.4224113,0.071833335
-5.87062,-5.295313,7.288452,-0.039470635,-1.2700785,0.08142071
-5.3483834,-5.142066,7.302812,-0.25145805,-0.81627625,0.10059545
-5.1902757,-5.4102488,6.8719964,-0.33667913,-0.41360667,0.108052306
-5.0800796,-5.6880093,6.7044573,-0.105516925,-0.1547476,0.08887757
-4.8836427,-5.812523,5.651354,0.24069372,-0.25594765,0.111248106
-4.893226,-5.4964504,5.153523,0.47079068,-0.9036278,0.16238075
-5.0321712,-5.1755886,6.402886,0.2715864,-1.4714133,0.22949237
-5.2190285,-5.1516438,7.489496,-0.18221585,-1.0389162,0.20925237
-5.046547,-5.295313,7.254941,-0.3963338,-0.23570758,0.19007763
-4.8596926,-5.3240466,7.183139,-0.14067054,0.32994735,0.21031766
-4.390159,-5.2139006,6.771471,0.16399485,0.53980434,0.22203556
-4.198513,-5.0031853,5.7901697,0.29821807,0.15630944,0.16344605
-4.5291047,-4.864305,6.18269,0.2865002,-0.5425034,0.16025028
-4.581809,-4.600911,7.1544166,0.0105969375,-0.7193371,0.20392609
-4.2320547,-4.538655,7.1879234,-0.2631758,-0.4988276,0.15918502
-4.313505,-4.687113,7.6139517,-0.24613155,-0.31027594,0.04413656
-4.6105595,-4.8786716,7.561296,-0.03201356,0.0082378825,-0.0027350252
-4.783043,-5.041497,7.211857,0.17784336,0.20744218,0.07502922
-4.85012,-4.9505067,6.7283864,0.26839077,0.15737481,0.16664189
-4.811792,-4.7781034,6.6661572,0.24602026,-0.03756841,0.16877241
-4.735134,-4.725425,6.64701,0.14375497,-0.114267364,0.11231346
-4.7303443,-4.8164153,6.790614,-0.025621908,-0.062069435,0.09207345
-4.850125,-4.869094,6.8097615,-0.1832809,0.0540443,0.09846504
