Acceleration x,Acceleration y,Acceleration z,Rotation x, Rotation y, Rotation z
-1.4562073,5.2899475,7.595749,-0.026565552,0.03552246,-0.37768555
-1.0186157,6.0446777,6.682968,0.23336792,0.588974,-0.48672485
-1.7663574,5.8242493,6.848709,0.2278595,0.9927521,-0.6751709
-2.6799774,4.899414,6.7093964,0.21166992,1.2529907,-0.8697357
-3.319519,4.738907,6.93277,0.28987122,1.1528015,-0.9766388
-3.5166779,4.8706665,7.309906,0.2715454,0.75024414,-0.91096497
-3.449356,4.302841,8.849609,0.2348938,0.21298218,-0.69929504
-2.64151,4.793991,9.935318,0.4700775,0.24719238,-0.42074585
-2.53331,4.8922424,9.767166,1.0293274,0.78230286,-0.2704773
-3.052658,5.083908,6.714203,1.679596,1.4225006,-0.19258118
-3.4974365,6.0255127,4.103195,1.7861938,1.4835815,-0.062164307
-2.600647,6.6101074,2.986267,1.3097076,1.0553741,0.05267334
-1.3984985,7.3408813,3.6804504,0.44502258,0.4176178,-0.051467896
-2.6583557,6.8473206,5.928726,-0.55404663,-0.19447327,-0.4277649
-2.480423,5.3450623,8.100159,-1.1389618,-0.33680725,-0.6678314
-1.5042877,4.396286,8.952896,-1.102005,0.26063538,-0.7359619
-1.8913879,4.7005463,8.590179,-0.757782,1.1036224,-0.8480377
-3.3579865,3.1480103,5.84227,-0.47006226,1.8119354,-1.1030884
-4.2716217,1.8134613,-0.70085144,-0.31245422,1.8870697,-1.2066345
-3.7426758,0.661026,-0.34536743,-0.46791077,0.64212036,-1.0035095
-2.6968231,-0.012237549,1.9701996,-1.1655273,-0.89849854,-0.57528687
-0.318985,-0.5848541,2.5514984,-2.3643646,-0.59428406,-0.08782959
1.8256683,-1.3227997,3.913437,-3.1911774,-0.7189026,0.19317627
1.8088226,-1.1862335,3.4762726,-3.6722412,-0.6404114,0.091781616
1.2101593,-2.1637726,4.6868896,-4.1612396,-1.1972046,-0.30101013
-0.5161133,-2.9736023,7.629364,-4.6371,-2.043274,-0.88775635
-5.1708374,-5.9900665,11.009018,-4.9413147,-2.6141357,-1.3929443
-6.3849792,-6.224869,13.026718,-4.622757,-2.9629364,-1.1803589
-5.4401093,-4.214676,12.325317,-4.0173798,-2.2732544,-0.38989258
-4.6971893,-3.002365,13.485489,-3.7183533,-1.7075958,-0.089035034
-3.7979736,-1.7756348,15.536819,-3.7993011,-0.9754791,-0.26008606
-4.0287933,-1.9145966,16.524063,-3.9700317,0.38586426,-1.0343628
-6.6831207,-3.7211304,16.910782,-3.8539734,1.9719849,-2.1403503
-8.9696045,-5.803177,14.410294,-3.153305,3.4826508,-2.882248
-9.85437,-6.3111267,10.173111,-2.0454865,4.4832764,-2.9237976
-9.486511,-7.2191925,7.5717163,-1.3915558,4.591385,-2.530075
-9.575485,-9.05925,6.2049713,-1.2293701,4.3381805,-1.9717407
-10.693481,-9.500092,3.545929,-1.3332214,3.957306,-1.3706512
-11.967743,-8.515381,4.014328,-1.485321,2.8559113,-0.63790894
-11.054123,-8.050568,3.9470673,-1.6691895,2.2373962,0.04840088
-8.580109,-6.577072,4.9919434,-1.8124542,1.648819,0.4668579
-7.4428864,-6.320709,4.718109,-1.7947235,1.7648926,0.34895325
-9.452866,-7.5905457,4.905472,-1.7201996,1.5828552,0.05757141
-11.809067,-8.21109,4.8910675,-1.5051727,1.2328339,0.053604126
-11.684036,-7.7031555,4.8262177,-1.425766,0.88586426,0.47233582
-10.330429,-7.1185455,6.051239,-1.2397461,0.5034485,0.9918823
-8.856613,-5.7289124,8.160217,-0.8976593,0.51994324,1.3006897
-9.349487,-4.990967,6.301056,-0.2492218,1.1305084,1.2215729
-9.553833,-5.017334,5.309021,0.065979004,1.4035645,1.0102234
-11.962936,-6.493225,4.7421265,0.015289307,1.3473663,0.74845886
-13.018417,-7.583359,3.3417664,-0.10017395,1.3882904,0.8926239
-13.227585,-8.062546,0.5698242,-0.27488708,1.1100464,1.5202942
-11.270508,-8.457886,-0.59036255,-0.7082977,0.32080078,2.3965912
-6.921158,-5.980484,1.1823425,-1.4074402,-0.2674713,3.1974335
-3.5214844,-3.5845642,2.0830994,-1.6636963,-0.40612793,3.1445923
-2.8675232,-2.2644043,5.8806915,-1.8979645,0.08866882,2.3889618
1.0851288,1.4876251,5.8759003,-1.4330902,0.6491394,1.6962433
0.5465698,0.32321167,2.0806885,-0.47525024,1.1112671,0.5196991
-1.4658203,-2.6094208,0.4833374,-0.6157532,0.90571594,-0.23075867
-6.3417206,-4.200302,-0.2612915,-0.63591003,0.12623596,-0.0945282
-8.654633,-1.2605133,1.5738678,-0.88972473,-0.4223175,0.6107178
-8.810913,2.2399292,2.0878906,-1.0152435,-0.5499878,1.0700989
-6.82016,5.5007935,1.8116608,-0.88972473,-0.7677765,1.1226349
-6.995682,3.627182,1.1366882,-0.5409241,-1.6061859,0.69166565
-9.510559,-0.064941406,-0.021072388,-0.18569946,-2.2289734,-0.048721313
-12.934265,-3.2874756,0.6611023,-0.09039307,-2.421692,-0.5960541
-11.81868,-4.1931305,1.8861389,-0.30145264,-2.08786,-0.3703308
-6.95961,-1.3827057,1.3192596,-0.18661499,-1.2216492,0.062469482
-3.9205933,-3.5150757,3.5363312,-0.105667114,-1.136734,-0.19165039
-4.0672607,-6.3183136,3.3369598,-0.09559631,-1.2778473,-0.7405243
-4.319702,-6.3302917,1.3817139,-0.7235718,-0.6917114,-2.066101
-8.471909,-10.8945465,1.4441681,-1.5766449,-0.48158264,-3.2563934
-7.678482,-8.175156,0.55059814,-1.7580719,-1.2845612,-3.2915192
-4.62265,-8.122437,6.017624,-0.99601746,-3.181015,-2.9634857
-7.755432,-10.34108,5.784607,-1.0705414,-3.7185822,-3.0511322
-9.859192,-11.447983,2.4746246,-1.6472015,-2.6538239,-2.463791
-8.315628,-9.34198,6.123291,-1.2855682,-1.6141357,-1.9417877
-5.053009,-6.6728973,3.305725,-1.3237457,-0.28671265,-0.9543152
-4.644287,-6.742386,5.124054,-1.1972961,-1.152008,-0.37734985
-5.3824005,-6.514786,4.975128,-0.95448303,-2.3465729,-0.85383606
-7.2000427,-5.30484,5.0111694,-0.8744507,-1.955307,-1.7469177
-6.476349,-5.127533,3.766922,-0.8567505,-1.3123474,-2.1916504
-2.8867493,-5.8559113,3.1039581,-1.032074,-0.6590271,-2.3037567
-1.121994,-6.2727814,3.4930878,-1.3683472,-0.069229126,-2.5160217
-1.0450592,-6.138626,1.3672943,-1.484726,0.9539795,-2.6656952
-0.778183,-6.866989,1.6195068,-1.3573608,0.9402313,-2.5652008
-1.3672333,-8.333282,2.628357,-1.1594391,-0.31173706,-2.719452
-1.739914,-8.43631,2.1431427,-1.0797119,-0.90367126,-2.5841522
-1.61969,-9.722916,3.6996613,-1.303299,-0.79585266,-1.9030151
-0.93447876,-10.693268,1.2183685,-0.986557,-0.29829407,-1.102478
-0.50650024,-11.275482,0.8724823,-0.88453674,0.32600403,-0.62324524
-0.0929718,-11.809769,0.44491577,-0.53970337,1.058136,-0.4018097
-0.28530884,-13.103577,1.545044,-0.19458008,0.5938721,-0.55911255
-0.7493439,-13.134735,2.296875,-0.06201172,-0.23660278,-1.126297
-1.0931396,-11.893631,2.3305054,-0.24435425,-0.5179138,-1.4253235
-0.8286896,-9.423431,1.6891632,-0.5213928,-0.54478455,-1.5083923
0.034454346,-8.0385895,1.3624878,-0.6945648,-0.3517456,-1.4940491
0.49848938,-8.47464,1.1198883,-0.47679138,-0.425354,-1.3776703
2.2343903,-9.900223,0.72836304,-0.017425537,-0.10069275,-1.3578186
3.58078,-11.711548,0.09902954,0.362854,-0.0026397705,-1.4409027
7.0309296,-15.825348,2.5875244,0.42881775,-0.54325867,-1.1986847
-0.8334961,-10.88974,3.216858,0.6963806,-0.34747314,-0.84988403
-0.25164795,-5.53244,3.2865143,0.44439697,-0.402771,0.46531677
0.5946655,-6.51239,0.9253235,-0.35736084,0.28019714,0.852005
2.4772186,-9.444992,1.3120422,-0.47373962,0.0046844482,0.3996582
3.6312714,-11.713928,1.6603394,-0.19364929,1.0681152E-4,-0.11073303
2.830658,-12.066147,2.3377075,0.15393066,0.17512512,0.1287384
2.0949402,-7.096985,1.9413757,0.24771118,0.28445435,0.64338684
0.7389221,-5.2904663,2.4890442,0.037887573,0.16319275,0.46043396
0.71247864,-14.636963,1.213562,-0.5073242,-0.019454956,-0.35661316
0.05369568,-12.126038,1.1102905,-0.51678467,-0.22195435,-0.23228455
0.79422,-10.147003,1.4441681,-0.9746399,-1.3633728,-0.47511292
1.1019745,-12.034988,1.177536,-0.7513733,-1.0121155,-0.23320007
1.775177,-12.665115,1.9725952,-0.10108948,-0.3255005,-0.16174316
2.4916534,-12.253021,1.5306244,0.22999573,0.17327881,-0.10583496
1.6092682,-11.649261,1.3000336,0.463974,0.3598938,-0.0056610107
1.0009918,-10.724426,1.2543945,0.7449646,0.54467773,0.14431763
0.30856323,-5.92778,1.1895447,1.0280914,0.62286377,0.30160522
0.017623901,-5.388687,1.3720856,0.89004517,0.48939514,0.15744019
0.27249146,-8.029007,1.6675568,0.1478424,-0.02281189,-0.06643677
0.37347412,-9.552826,1.5786743,-0.21104431,-0.104660034,-0.18312073
0.7172699,-9.972092,1.6291046,-0.05406189,0.06362915,-0.12295532
0.90722656,-9.41864,1.8669281,0.068115234,0.044387817,-0.08995056
0.986557,-9.4210205,2.049469,-0.014968872,-0.117507935,-0.013305664
1.6405334,-9.979294,1.7516174,-0.11331177,-0.15629578,0.07925415
1.664566,-9.2916565,1.8813171,-0.11453247,-0.05580139,0.09971619
2.1165771,-10.024811,1.5594635,-0.05680847,9.1552734E-5,0.1669159
2.508484,-10.185333,1.7083893,-0.010070801,0.005584717,0.11529541
2.1045532,-9.698959,1.8236847,-0.013427734,-0.001739502,0.060012817
1.7607269,-9.751663,1.8404846,0.029022217,0.044067383,0.03831482
1.5683899,-9.660629,1.7684326,0.053756714,0.08744812,0.033432007
1.4097137,-9.615112,1.6747437,0.032073975,0.105773926,0.011749268
1.3015289,-9.571976,1.5042114,0.028717041,0.1295929,0.0074768066
1.2462311,-9.737289,1.545044,0.034210205,0.14303589,0.0059509277
1.2750854,-9.926575,1.7107697,0.028717041,0.1378479,0.022750854
1.1620636,-9.804382,1.8212738,0.01651001,0.13357544,0.017547607
1.2221832,-9.425827,1.7444153,0.009170532,0.121658325,0.021835327
1.1885223,-9.524063,1.8188782,0.0061187744,0.13569641,-0.0019989014
1.1188049,-9.437805,1.7612152,0.015274048,0.20716858,0.0016784668
0.8855896,-8.5225525,1.8765106,0.061706543,0.21603394,0.037094116
1.2798767,-10.683701,1.7276001,0.12461853,0.19740295,0.13209534
0.93125916,-9.885849,1.9221649,0.020477295,0.13296509,0.009307861
0.70526123,-9.617493,1.7324066,0.042770386,0.17204285,0.023666382
0.8182678,-9.639069,1.6074982,0.06109619,0.23405457,0.020004272
0.8423004,-9.610306,1.7612152,0.057724,0.22337341,0.020004272
0.8976135,-9.629486,1.8188782,0.03819275,0.19129944,0.017852783
0.9120178,-9.691772,1.8164673,0.02444458,0.16716003,0.0065612793
0.99617004,-9.77803,1.7492218,0.018035889,0.20075989,0.0010681152
1.1043701,-9.5216675,1.698761,0.02658081,0.24107361,0.014190674
1.1524506,-9.559998,1.7348175,0.045211792,0.26184082,0.007171631
1.1548615,-9.619888,1.8693237,0.068115234,0.27772522,0.011749268
1.0562897,-9.660629,2.0638885,0.09223938,0.27070618,0.018463135
0.9216461,-9.720535,2.133545,0.091934204,0.2728424,0.027633667
0.7822113,-9.682205,2.1095276,0.09591675,0.2780304,0.041992188
0.6187134,-9.62709,2.075882,0.10934448,0.26216125,0.04626465
0.52734375,-9.653442,2.0662842,0.10720825,0.23710632,0.040771484
0.50090027,-9.636673,2.0734863,0.1408081,0.24290466,0.039245605
0.56340027,-9.746887,2.1047058,0.11729431,0.21359253,0.025802612
0.70765686,-9.739685,2.0686798,0.12890625,0.21328735,0.016326904
0.74853516,-9.830734,2.1455536,0.12980652,0.20077515,0.029159546
0.68362427,-9.775635,2.2800598,0.10812378,0.15098572,0.035873413
0.71006775,-9.708542,2.3593292,0.11911011,0.19467163,0.040161133
0.8999939,-9.562393,2.4025574,0.14355469,0.2554474,0.052978516
1.1091766,-9.725311,2.609146,0.17745972,0.27407837,0.07008362
1.1933289,-10.0008545,2.875763,0.24555969,0.3150177,0.085357666
1.138031,-10.070343,3.0727234,0.29595947,0.21879578,0.114990234
0.9889679,-10.067932,3.0823364,0.33963013,0.17298889,0.14460754
0.9096222,-9.792404,2.8973846,0.39797974,0.20872498,0.1375885
0.92884827,-9.344376,2.8036957,0.41445923,0.22644043,0.1299591
0.8110504,-9.037689,2.782074,0.43585205,0.2071991,0.11376953
0.5441742,-9.054459,2.8781738,0.42759705,0.17878723,0.08657837
0.33018494,-9.1263275,2.9093933,0.41081238,0.12930298,0.060913086
0.31817627,-8.843613,3.084732,0.37017822,0.024841309,0.006866455
0.5177307,-8.551315,3.317749,0.3924713,0.052337646,-0.065216064
0.85191345,-8.206299,3.3321533,0.46577454,0.13357544,-0.14982605
