2285472.32,9.696,-1.741,1.416,-0.102,-0.035,-0.007,3
2285472.33,9.717,-1.738,1.462,-0.092,-0.037,-0.007,3
2285472.34,9.719,-1.746,1.512,-0.078,-0.036,-0.007,3
2285472.359,9.708,-1.766,1.554,-0.043,-0.031,-0.009,3
2285472.369,9.686,-1.781,1.55,-0.026,-0.025,-0.009,3
2285472.38,9.669,-1.77,1.532,-0.007,-0.019,-0.009,3
2285472.389,9.647,-1.78,1.504,0.003,-0.015,-0.008,3
2285472.399,9.636,-1.796,1.445,0.005,-0.015,-0.007,3
2285472.409,9.631,-1.791,1.417,0.007,-0.014,-0.005,3
2285472.42,9.63,-1.788,1.388,0.006,-0.015,-0.005,3
2285472.429,9.628,-1.804,1.355,0.004,-0.012,-0.004,3
2285472.44,9.622,-1.775,1.359,0.002,-0.009,-0.003,3
2285472.45,9.612,-1.759,1.344,0,-0.004,-0.001,3
2285472.46,9.624,-1.741,1.351,-0.001,-0.002,-0.001,3
2285472.47,9.625,-1.725,1.371,-0.001,-0.002,0,3
2285472.48,9.635,-1.693,1.353,0.002,-0.001,0.002,3
2285472.51,9.587,-1.675,1.351,0.005,0.01,0.007,3
2285472.52,9.623,-1.676,1.333,0.006,0.015,0.009,3
2285472.54,9.658,-1.688,1.324,0.004,0.016,0.01,3
2285472.55,9.658,-1.677,1.309,0.004,0.019,0.009,3
2285472.57,9.653,-1.683,1.292,0.007,0.023,0.01,3
2285472.58,9.664,-1.685,1.277,0.012,0.022,0.011,3
2285472.619,9.74,-1.704,1.208,0.024,0.024,0.011,3
2285472.629,9.741,-1.71,1.19,0.025,0.026,0.01,3
2285472.639,9.713,-1.718,1.168,0.024,0.027,0.01,3
2285472.649,9.67,-1.711,1.144,0.021,0.027,0.009,3
2285472.659,9.669,-1.707,1.111,0.019,0.024,0.01,3
2285472.669,9.68,-1.719,1.095,0.016,0.02,0.01,3
2285472.679,9.702,-1.718,1.083,0.015,0.017,0.011,3
2285472.689,9.75,-1.705,1.047,0.012,0.015,0.011,3
2285472.699,9.75,-1.687,1.049,0.007,0.016,0.012,3
2285472.71,9.723,-1.666,1.046,0.004,0.019,0.013,3
2285472.73,9.674,-1.587,1.053,0.004,0.01,0.013,3
2285472.74,9.653,-1.548,1.061,0.004,0.005,0.013,3
2285472.75,9.674,-1.536,1.067,0.007,-0.001,0.013,3
2285472.76,9.69,-1.531,1.072,0.01,-0.001,0.012,3
2285472.77,9.711,-1.521,1.067,0.013,-0.004,0.012,3
2285472.78,9.747,-1.517,1.082,0.014,-0.005,0.012,3
2285472.79,9.752,-1.508,1.069,0.012,-0.003,0.01,3
2285472.8,9.761,-1.497,1.071,0.011,-0.007,0.009,3
2285472.81,9.736,-1.511,1.091,0.009,-0.009,0.009,3
2285472.83,9.708,-1.52,1.096,0.004,-0.011,0.007,3
2285472.84,9.701,-1.532,1.095,0.002,-0.009,0.004,3
2285472.85,9.709,-1.552,1.095,-0.001,-0.007,0.004,3
2285472.86,9.714,-1.558,1.1,-0.006,-0.005,0.001,3
2285472.87,9.731,-1.572,1.121,-0.013,-0.003,0.002,3
2285472.88,9.716,-1.593,1.129,-0.02,0.001,0,3
2285472.889,9.7,-1.621,1.165,-0.025,0.005,-0.001,3
2285472.9,9.694,-1.621,1.188,-0.025,0.006,0.001,3
2285472.91,9.69,-1.632,1.208,-0.023,0.005,-0.001,3
2285472.919,9.697,-1.633,1.202,-0.018,0.005,0,3
2285472.93,9.694,-1.646,1.222,-0.012,0.006,0.001,3
2285472.94,9.697,-1.646,1.223,-0.004,0.007,0.003,3
2285472.95,9.692,-1.656,1.227,0.005,0.005,0.004,3
2285472.96,9.696,-1.652,1.223,0.015,0.004,0.006,3
2285472.97,9.685,-1.654,1.226,0.024,0.002,0.007,3
2285472.98,9.668,-1.661,1.217,0.032,0.001,0.009,3
2285473,9.689,-1.66,1.178,0.045,-0.002,0.011,3
2285473.021,9.658,-1.675,1.141,0.047,-0.001,0.013,3
2285473.029,9.652,-1.672,1.117,0.046,-0.002,0.015,3
2285473.05,9.675,-1.646,1.073,0.034,-0.002,0.013,3
2285473.06,9.695,-1.642,1.067,0.027,-0.002,0.013,3
2285473.07,9.688,-1.647,1.072,0.02,-0.001,0.012,3
2285473.08,9.702,-1.649,1.095,0.011,0.001,0.012,3
2285473.09,9.69,-1.628,1.091,0.004,0.004,0.011,3
2285473.1,9.662,-1.632,1.108,-0.002,0.005,0.01,3
2285473.111,9.679,-1.646,1.132,-0.007,0.007,0.009,3
2285473.12,9.69,-1.641,1.172,-0.01,0.01,0.007,3
2285473.13,9.669,-1.632,1.176,-0.01,0.012,0.007,3
2285473.14,9.686,-1.627,1.21,-0.012,0.013,0.007,3
2285473.15,9.691,-1.627,1.218,-0.009,0.014,0.007,3
2285473.16,9.713,-1.637,1.238,-0.004,0.011,0.008,3
2285473.17,9.72,-1.637,1.228,0.002,0.012,0.007,3
2285473.18,9.72,-1.627,1.24,0.01,0.015,0.009,3
2285473.19,9.702,-1.62,1.233,0.016,0.018,0.009,3
2285473.2,9.691,-1.635,1.21,0.026,0.018,0.009,3
2285473.23,9.717,-1.646,1.141,0.04,0.015,0.012,3
2285473.25,9.694,-1.644,1.107,0.042,0.016,0.013,3
2285473.26,9.683,-1.643,1.071,0.042,0.014,0.012,3
2285473.27,9.692,-1.637,1.066,0.04,0.011,0.012,3
2285473.28,9.723,-1.636,1.055,0.038,0.01,0.012,3
